"Rank","Taxa","Type1","Type2","Type3","Type4","Type5","Average"
"Phylum","Actinobacteriota",58.13,67.03,59.71,52.09,62.95,59.98
"Phylum","Firmicutes",33.9,26.66,30.7,34.27,27,30.5
"Phylum","Proteobacteria",7.08,5.74,8.51,9.92,9.65,8.18
"Phylum","Others",0.89,0.58,1.08,3.72,0.4,1.33
"Genus","Staphylococcus",28.25,21.12,19.54,19.87,23.3,22.41
"Genus","Cutibacterium",31.59,19.23,19.93,17.42,18.98,21.43
"Genus","Others",15.15,16.11,22.95,25.33,17.69,19.45
"Genus","Corynebacterium",7.86,21.49,11.72,11.45,11.75,12.85
"Genus","Corynebacteriaceae_f",7.73,14.59,15.16,7.05,11.24,11.15
"Genus","Streptococcus",2.56,4.06,6.99,10.61,2.99,5.44
"Genus","Rothia",0.75,0.37,1.12,1.46,8.78,2.5
"Genus","Williamsia",3.26,1.57,1.19,3.71,2.58,2.46
"Genus","Gordonia",1.43,0.58,0.84,1.5,1.69,1.21
"Genus","Dietzia",1.28,0.89,0.56,1.56,0.9,1.04
"Genus","Neisseriaceae_f",0.14,0,0,0.04,0.09,0.05
"Species","Staphylococcus_g",28.25,21.12,19.54,19.87,23.3,22.41
"Species","Cutibacterium_g",31.59,19.23,19.93,17.42,18.98,21.43
"Species","Others",15.15,16.11,22.95,25.33,17.69,19.45
"Species","Corynebacterium_g",7.86,21.49,11.72,11.45,11.75,12.85
"Species","Corynebacteriaceae_f",7.73,14.59,15.16,7.05,11.24,11.15
"Species","Streptococcus_g",2.56,4.06,6.99,10.61,2.99,5.44
"Species","Rothia_g",0.75,0.37,1.12,1.46,8.78,2.5
"Species","Williamsia_g",3.26,1.57,1.19,3.71,2.58,2.46
"Species","Gordonia_g",1.43,0.58,0.84,1.5,1.69,1.21
"Species","Dietzia_g",1.28,0.89,0.56,1.56,0.9,1.04
"Species","Neisseriaceae_f",0.14,0,0,0.04,0.09,0.05
